Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:1xKQbqQtQWrtQS47fUJBtl,72c7f0be9dc54cd0a6a098c965a6d381,2024-08-02T15:50:50Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:2HHtWyy5CgaQbC7XSoOb0e,72c7f0be9dc54cd0a6a098c965a6d381,2024-08-02T15:50:50Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:3bnVBN67NBEzedqQuWrpP4,72c7f0be9dc54cd0a6a098c965a6d381,2024-08-02T15:50:50Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:18oWEPapjNt32E6sCM6VLb,72c7f0be9dc54cd0a6a098c965a6d381,2024-08-02T15:50:50Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:41nT1Sp6ChR65FbsdLlFHW,72c7f0be9dc54cd0a6a098c965a6d381,2024-08-02T15:50:50Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:1SAkL1mYNJlaqnBQxVZrRl,72c7f0be9dc54cd0a6a098c965a6d381,2024-08-02T15:50:50Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:4tk347oICCDJExiWHndadC,72c7f0be9dc54cd0a6a098c965a6d381,2024-08-02T15:50:50Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:4UvKW3IobGX0x49ChYnktq,72c7f0be9dc54cd0a6a098c965a6d381,2024-08-02T15:50:50Z,-1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:5j0lOTApmBNqzla39WVMjR,72c7f0be9dc54cd0a6a098c965a6d381,2024-08-02T15:50:50Z,-1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:5lYX9tp6KxYwPfnNGZpEE6,72c7f0be9dc54cd0a6a098c965a6d381,2024-08-02T15:50:50Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:11VwZwNF29HrqwalYUMitb,46d1eaa4322e47b988ecbd1c48d71c85,2024-08-02T17:07:16Z,-1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:18oWEPapjNt32E6sCM6VLb,46d1eaa4322e47b988ecbd1c48d71c85,2024-08-02T17:07:16Z,2,love this song,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:1VVnl18TqzwUXsudGCpiNL,46d1eaa4322e47b988ecbd1c48d71c85,2024-08-02T17:07:16Z,-1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:2HHtWyy5CgaQbC7XSoOb0e,46d1eaa4322e47b988ecbd1c48d71c85,2024-08-02T17:07:16Z,1,Gotta give a point purely because there is an LSU football 3rd down dance that goes along to this song. Fall is near...Geaux Tigers!,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,46d1eaa4322e47b988ecbd1c48d71c85,2024-08-02T17:07:16Z,0,"I love Shaki & thought about submitting another one of her songs (Eyes Like Yours), but the radio killed this song for me",3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:41nT1Sp6ChR65FbsdLlFHW,46d1eaa4322e47b988ecbd1c48d71c85,2024-08-02T17:07:16Z,2,"these are my girls, <3 early 2000s era",3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:5lYX9tp6KxYwPfnNGZpEE6,46d1eaa4322e47b988ecbd1c48d71c85,2024-08-02T17:07:16Z,3,culo! creative choice,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:0rUIff1QHd5zlOBtlHVqd9,4a17568c50d542268ca89790d7616686,2024-08-02T19:36:56Z,2,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:0Wl2RALqRacaIJhnlRHK8J,4a17568c50d542268ca89790d7616686,2024-08-02T19:36:56Z,-1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:1VVnl18TqzwUXsudGCpiNL,4a17568c50d542268ca89790d7616686,2024-08-02T19:36:56Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:26nKaeICWQGG1EC3cTGliE,4a17568c50d542268ca89790d7616686,2024-08-02T19:36:56Z,-1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:2MvvoeRt8NcOXWESkxWn3g,4a17568c50d542268ca89790d7616686,2024-08-02T19:36:56Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,4a17568c50d542268ca89790d7616686,2024-08-02T19:36:56Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:41nT1Sp6ChR65FbsdLlFHW,4a17568c50d542268ca89790d7616686,2024-08-02T19:36:56Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:4Z1t1aMRif8ES212kTN8H2,4a17568c50d542268ca89790d7616686,2024-08-02T19:36:56Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:5g7rJvWYVrloJZwKiShqlS,4a17568c50d542268ca89790d7616686,2024-08-02T19:36:56Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:0rUIff1QHd5zlOBtlHVqd9,3bca108fedc34d2ebd6210e48c9d3201,2024-08-02T20:47:32Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:11VwZwNF29HrqwalYUMitb,3bca108fedc34d2ebd6210e48c9d3201,2024-08-02T20:47:32Z,-1,Sorry,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:1SAkL1mYNJlaqnBQxVZrRl,3bca108fedc34d2ebd6210e48c9d3201,2024-08-02T20:47:32Z,1,I know every word to this song. Not sure I should be proud of that but I am ,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:1VVnl18TqzwUXsudGCpiNL,3bca108fedc34d2ebd6210e48c9d3201,2024-08-02T20:47:32Z,0,I'm sure this was really cool in the movie.... ,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:2HHtWyy5CgaQbC7XSoOb0e,3bca108fedc34d2ebd6210e48c9d3201,2024-08-02T20:47:32Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,3bca108fedc34d2ebd6210e48c9d3201,2024-08-02T20:47:32Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:41nT1Sp6ChR65FbsdLlFHW,3bca108fedc34d2ebd6210e48c9d3201,2024-08-02T20:47:32Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:4tk347oICCDJExiWHndadC,3bca108fedc34d2ebd6210e48c9d3201,2024-08-02T20:47:32Z,1,Immediately reminded me of All Time Low and transported me back to 2007.,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:4UvKW3IobGX0x49ChYnktq,3bca108fedc34d2ebd6210e48c9d3201,2024-08-02T20:47:32Z,-1,Sorry,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:4Z1t1aMRif8ES212kTN8H2,3bca108fedc34d2ebd6210e48c9d3201,2024-08-02T20:47:32Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:5lYX9tp6KxYwPfnNGZpEE6,3bca108fedc34d2ebd6210e48c9d3201,2024-08-02T20:47:32Z,1,"This sounds sooooo similar to Move Ya Body by Nina Sky. But also, classic Pitbull. ",3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:4UvKW3IobGX0x49ChYnktq,a8879ab391724dbb95aa5ab5c76a84d4,2024-08-03T20:25:43Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:0Wl2RALqRacaIJhnlRHK8J,a8879ab391724dbb95aa5ab5c76a84d4,2024-08-03T20:25:43Z,-1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:11VwZwNF29HrqwalYUMitb,a8879ab391724dbb95aa5ab5c76a84d4,2024-08-03T20:25:43Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,a8879ab391724dbb95aa5ab5c76a84d4,2024-08-03T20:25:43Z,2,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:41nT1Sp6ChR65FbsdLlFHW,a8879ab391724dbb95aa5ab5c76a84d4,2024-08-03T20:25:43Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:4tk347oICCDJExiWHndadC,a8879ab391724dbb95aa5ab5c76a84d4,2024-08-03T20:25:43Z,-1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:4Z1t1aMRif8ES212kTN8H2,a8879ab391724dbb95aa5ab5c76a84d4,2024-08-03T20:25:43Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:5lYX9tp6KxYwPfnNGZpEE6,a8879ab391724dbb95aa5ab5c76a84d4,2024-08-03T20:25:43Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:6t69YVVATCI1RDYbvRBVCT,a8879ab391724dbb95aa5ab5c76a84d4,2024-08-03T20:25:43Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:11VwZwNF29HrqwalYUMitb,03d405416c34453693da631776bf513f,2024-08-03T21:03:51Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:18oWEPapjNt32E6sCM6VLb,03d405416c34453693da631776bf513f,2024-08-03T21:03:51Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:1SAkL1mYNJlaqnBQxVZrRl,03d405416c34453693da631776bf513f,2024-08-03T21:03:51Z,-1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:1VVnl18TqzwUXsudGCpiNL,03d405416c34453693da631776bf513f,2024-08-03T21:03:51Z,-1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:1xKQbqQtQWrtQS47fUJBtl,03d405416c34453693da631776bf513f,2024-08-03T21:03:51Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:26nKaeICWQGG1EC3cTGliE,03d405416c34453693da631776bf513f,2024-08-03T21:03:51Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:2MvvoeRt8NcOXWESkxWn3g,03d405416c34453693da631776bf513f,2024-08-03T21:03:51Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:3bnVBN67NBEzedqQuWrpP4,03d405416c34453693da631776bf513f,2024-08-03T21:03:51Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:4Z1t1aMRif8ES212kTN8H2,03d405416c34453693da631776bf513f,2024-08-03T21:03:51Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:5g7rJvWYVrloJZwKiShqlS,03d405416c34453693da631776bf513f,2024-08-03T21:03:51Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:18oWEPapjNt32E6sCM6VLb,e4cf51d9d4e147d3b7e0c929273cb2e8,2024-08-03T23:23:58Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:1VVnl18TqzwUXsudGCpiNL,e4cf51d9d4e147d3b7e0c929273cb2e8,2024-08-03T23:23:58Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:26nKaeICWQGG1EC3cTGliE,e4cf51d9d4e147d3b7e0c929273cb2e8,2024-08-03T23:23:58Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
spotify:track:2HHtWyy5CgaQbC7XSoOb0e,e4cf51d9d4e147d3b7e0c929273cb2e8,2024-08-03T23:23:58Z,1,,3deaf9e02e4c4d1b86c0edbc17f55666
